"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"DEN","CLE",111,103,FALSE,5.30000000000001,-5.10000000000001,-10.4
2013,"GSW","DAL",91,116,TRUE,0.900000000000006,-0.599999999999994,-1.5
2013,"DET","MIL",105,100,FALSE,-4.3,-1.60000000000001,2.69999999999999
2013,"CHA","PHI",76,87,TRUE,-10,-3.7,6.3
2013,"UTA","SAC",109,120,TRUE,-0.0999999999999943,-5.2,-5.10000000000001
2013,"DEN","BOS",114,118,TRUE,5.30000000000001,-0.200000000000003,-5.50000000000001
2013,"SAS","BRK",111,86,FALSE,6.7,2,-4.7
2013,"MIN","MEM",88,105,TRUE,-2.5,4.60000000000001,7.10000000000001
2013,"LAL","MIA",97,107,TRUE,1.2,8.59999999999999,7.39999999999999
2013,"LAC","NYK",102,88,FALSE,7,4.8,-2.2
2013,"POR","ORL",104,110,TRUE,-3.40000000000001,-7.5,-4.09999999999999
2013,"OKC","PHO",97,69,FALSE,9.80000000000001,-6.89999999999999,-16.7
2013,"HOU","SAC",111,117,TRUE,3.60000000000001,-5.2,-8.80000000000001
2013,"NOH","TOR",89,102,TRUE,-4.39999999999999,-1.59999999999999,2.8
2013,"BOS","CHA",91,94,TRUE,-0.200000000000003,-10,-9.8
2013,"SAS","CHI",103,89,FALSE,6.7,0.299999999999997,-6.40000000000001
2013,"MIN","CLE",100,92,FALSE,-2.5,-5.10000000000001,-2.60000000000001
2013,"ATL","DAL",105,101,FALSE,0.399999999999991,-0.599999999999994,-0.999999999999986
2013,"NOH","DET",105,86,FALSE,-4.39999999999999,-4.3,0.0999999999999943
2013,"BRK","IND",89,84,FALSE,2,4.5,2.5
2013,"WAS","MIL",102,90,FALSE,-2.8,-1.60000000000001,1.19999999999999
2013,"LAC","PHI",107,90,FALSE,7,-3.7,-10.7
2013,"HOU","GSW",116,107,FALSE,3.60000000000001,0.900000000000006,-2.7
2013,"PHO","LAL",85,91,TRUE,-6.89999999999999,1.2,8.09999999999999
2013,"SAC","MEM",101,108,TRUE,-5.2,4.60000000000001,9.80000000000001
2013,"POR","MIA",104,117,TRUE,-3.40000000000001,8.59999999999999,12
2013,"DEN","TOR",108,109,TRUE,5.30000000000001,-1.59999999999999,-6.90000000000001
2013,"OKC","UTA",94,109,TRUE,9.80000000000001,-0.0999999999999943,-9.90000000000001
