"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Enes Kanter","NYK",1195,63.8,21.7,"C",108.7,108.2
"Luke Kennard","DET",749,56,17.5,"SG",110,105.4
"Michael Kidd-Gilchrist","CHO",1087,53.9,16.8,"SF",111.5,103.8
"Sean Kilpatrick",NA,259,44.8,24.6,"SG",NA,NA
"Sean Kilpatrick","BRK",183,41.9,25.9,"SG",98.4,106.7
"Sean Kilpatrick","MIL",76,53.4,21.5,"SG",117,109.4
"Maxi Kleber","DAL",800,56.4,13.3,"PF",104.5,108.3
"Furkan Korkmaz","PHI",32,34.9,18.4,"SG",104.2,107.3
"Kyle Korver","CLE",1013,64.2,16.1,"SG",116.4,108.3
"Kosta Koufos","SAC",832,54.6,14.6,"C",97.1,106.5
"Kyle Kuzma","LAL",1438,55.9,22.9,"PF",106.3,102.9
"Mindaugas Kuzminskas","NYK",2,0,44.1,"SF",0,108.5
"Skal Labissiere","SAC",754,51.7,21.6,"PF",105.6,101.9
"Jeremy Lamb","CHO",1196,55,23.3,"SG",108.5,106.2
"Shane Larkin","BOS",428,49,15.7,"PG",102.2,108.3
"Joffrey Lauvergne","SAS",334,51.9,19.6,"C",100.5,108.2
"Zach LaVine","CHI",151,48.6,31.6,"SG",107.7,104.6
"Jake Layman","POR",124,34.8,14.2,"SF",101.3,109.2
"T.J. Leaf","IND",373,53.7,14.9,"PF",106.2,111.5
"Courtney Lee","NYK",1649,57.4,17.5,"SG",108.1,109.1
"Alex Len","PHO",872,61.2,16.6,"C",105.7,105.5
"Kawhi Leonard","SAS",210,57.2,30.9,"SF",102.4,107.6
"Meyers Leonard","POR",152,68.8,17.3,"C",106.5,109
"Jon Leuer","DET",136,50.5,16.5,"PF",101,107.3
"Caris LeVert","BRK",1253,50.9,22.4,"SF",104.5,107.7
"DeAndre Liggins",NA,515,47.1,7.8,"SG",NA,NA
"DeAndre Liggins","MIL",480,42.4,7.7,"SG",103.1,111.4
"DeAndre Liggins","NOP",35,100,8.8,"SG",74.2,110.8
"Damian Lillard","POR",1536,58.7,29.9,"PG",110.4,105.7
"Jeremy Lin","BRK",25,59.7,31,"PG",113.1,106
"Shaun Livingston","GSW",677,53.8,16.1,"PG",116.2,116.1
"Kevon Looney","GSW",444,61.2,11.8,"C",116.4,116.1
"Brook Lopez","LAL",842,53.2,25.4,"C",104.2,105.4
"Robin Lopez","CHI",1376,55.7,20.7,"C",103.2,106.9
"Kevin Love","CLE",1311,61.1,25.6,"C",111.2,113.1
"Kyle Lowry","TOR",1449,58.4,22.2,"PG",114.2,111.2
"Timothe Luwawu-Cabarrot","PHI",688,54.2,17.5,"SF",106.9,107.4
"Tyler Lydon","DEN",2,NA,0,"PF",100,109.7
"Trey Lyles","DEN",905,61.4,20.5,"PF",109.1,110
"Shelvin Mack","ORL",578,50.1,13.6,"PG",107.1,106.1
"Josh Magette","ATL",69,63.1,11.9,"PG",105.1,106.4
"Ian Mahinmi","WAS",671,60.3,13.5,"C",114.2,107.7
"Thon Maker","MIL",847,49.1,13.8,"C",107.2,111.1
"Boban Marjanovic","DET",171,59.7,31.6,"C",103.1,107.2
"Lauri Markkanen","CHI",1385,55,22,"PF",103.6,106.3
"Jarell Martin","MEM",849,52.9,16.3,"PF",105.4,106.6
"Frank Mason","SAC",539,48.3,22.1,"PG",108.8,101.5
"Mangok Mathiang","CHO",10,0,8.6,"C",81.8,107.5
"Wesley Matthews","DAL",1722,54.4,17.4,"SF",107,107.4
"Luc Mbah a Moute","HOU",766,56.9,12.5,"PF",111.1,117.5
"James Michael McAdoo","PHI",18,50.8,21,"PF",105.3,107.2
"Patrick McCaw","GSW",714,52.1,12.1,"SG",111,118.3
"C.J. McCollum","POR",1742,55,26,"SG",108.9,108.6
"T.J. McConnell","PHI",977,57.2,14.6,"PG",104.2,109.7
"Chris McCullough","WAS",80,47.2,23.8,"PF",107.4,109.6
"Doug McDermott","NYK",1091,57.6,14.5,"SF",105.7,110.7
"JaVale McGee","GSW",268,64.5,18.6,"C",119.7,115.7
"Alfonzo McKinnie","TOR",38,63,15.2,"SF",122.7,113
"Ben McLemore","MEM",473,51.7,19.8,"SG",103.9,106.8
"Josh McRoberts","DAL",6,0,7.6,"PF",100,107.1
"Jodie Meeks","WAS",714,51.3,18.6,"SG",107.4,110.4
"Salah Mejri","DAL",550,65.8,12.3,"C",112.1,105.7
"Jordan Mickey","MIA",231,51.3,17.3,"PF",110.2,105.9
"Khris Middleton","MIL",1748,57.3,24.7,"SF",111.6,103.1
"C.J. Miles","TOR",740,55,22.2,"SF",107,116.2
"Darius Miller","NOP",1079,64.2,13.6,"SF",111.7,109.6
"Malcolm Miller","TOR",13,60,16.7,"SF",113.8,113.1
"Patty Mills","SAS",1235,56.8,18.3,"PG",109.6,104.6
"Paul Millsap","DEN",475,53.1,24.2,"PF",111.1,109.3
"Nikola Mirotic","CHI",594,62.2,26.6,"PF",113.9,101.7
"Donovan Mitchell","UTA",1505,54.7,28.7,"SG",107.3,105
"Naz Mitrou-Long","UTA",1,150,45.4,"SG",250,106.4
"Malik Monk","CHO",469,44.6,21.2,"SG",98.1,109.9
"Greg Monroe",NA,505,61.1,20.1,"C",NA,NA
"Greg Monroe","MIL",79,48.9,23.6,"C",96.3,110.2
"Greg Monroe","PHO",426,63.7,19.4,"C",106.8,105.3
"Luis Montero","DET",8,0,16.6,"SG",73.3,107
"Ben Moore","IND",3,NA,0,"PF",57.1,110.7
"E'Twaun Moore","NOP",1560,60.4,15.9,"SG",111,109.7
"Eric Moreland","DET",470,50.7,7.7,"PF",102.8,108
"Marcus Morris","BOS",679,52.1,23.1,"PF",108.3,106.8
"Markieff Morris","WAS",1047,55.9,18.9,"PF",108.6,110.2
"Monte Morris","DEN",3,0,14.5,"PG",50,109.8
"Johnathan Motley","DAL",4,79.8,64.7,"PF",160,107
"Timofey Mozgov","BRK",321,60.6,15.9,"C",94.7,107.9
"Emmanuel Mudiay","DEN",674,50.4,24.7,"PG",104.3,112
"Shabazz Muhammad","MIN",288,45.3,19.6,"SF",103.5,115.1
